
4473099,1318948,1809820,834656,105464,1462064,858564,855726,2125297,1427970,1024944,84336,515812,0,537024,178336,404596,98744,1820640,1014356,2252268,32420,1859198,0,617584,3611640,1711972,1864307,0,0,0,0,0,0,1530780,2485130,1226675,175052,0,0,3686499,1317393,1618514,834362,131764,1661340,596463,87448,1294544,1302207,1023903,346341,253358,0,539677,178187,404274,107368,1999533,879092,1756424,32380,1567002,0,875794,2300987,459911,1801294,0,0,0,0,0,0,1529868,912044,1223516,174602,10653,0,346,398,48,189,109,50,58,131,177,273,311,116,49,2,140,42,84,11,325,222,273,2,159,0,60,110,147,32,0,0,1,7,59,0,63,112,274,149,0,0,1
1914264,1570338,2152734,4429090,1308132,3290533,0,2096452,1668685,3058563,762160,0,0,0,0,59828,1235156,168656,53448,596620,897288,238852,0,0,0,1580437,3239534,2277382,431624,146772,1861188,1222196,121176,97080,523356,124032,0,142120,0,72076,1128220,1348585,1338201,3700710,1516495,1703758,0,2170062,1342248,1746548,762634,14748,0,0,0,500057,793649,168508,53361,596229,896120,1034006,0,0,0,0,1665357,1494968,431270,146565,1864244,1217451,120933,97010,522947,123881,0,404358,0,1130237,81,66,82,113,191,118,2,64,152,109,115,0,0,37,0,51,31,24,41,49,136,4,0,0,0,65,179,116,105,55,62,198,74,41,13,102,1,55,0,79,1
3701468,3272504,0,235986,2072447,570386,3274256,1384914,341724,0,0,997912,0,66424,291572,1116456,2457600,2488717,1208096,2273650,64736,0,0,787824,2643468,1273193,759909,1991981,932643,0,0,0,74728,1372572,56876,1050186,1251558,96072,5636,5208254,2347621,1435382,0,232163,1291112,991955,2359746,1274614,191122,0,131240,78232,0,328827,947604,730180,1142062,2552771,1666713,1819236,0,0,0,0,1952202,1173890,1170916,1858597,669504,0,0,0,74648,1633806,323415,526429,462676,602138,1287184,1450704,26,70,1,20,28,58,145,81,42,10,19,47,0,26,19,8,91,279,141,84,0,14,1,7,131,96,123,42,102,8,0,0,50,51,31,4,94,51,18,83,1
1013859,0,24540,90877,21331,3440969,1959474,105384,1615383,70697,0,0,857298,0,1050549,7353024,2144862,0,18127025,887663,1138796,3547276,119954,88170,1419138,118611,0,2100981,13655616,10313825,898280,1745374,674581,135009,3140295,1555454,6523,1050432,9320751,585812,1013310,0,24055,90122,1202506,2261762,1953709,103580,1613099,70821,0,0,987819,2493644,4855880,2723928,8603103,6827320,3025149,881602,1530838,3151795,119272,488474,1024409,903048,9774540,8533440,6523424,440057,1221666,1410120,673322,397244,2872956,1557146,2500055,6955720,1441366,64735,11,0,10,39,15,74,42,64,20,35,0,1,78,0,1,0,68,0,19,174,25,9,28,34,66,45,0,2,0,64,34,93,41,25,137,70,2,1,21,8,1
329566,617509,6074797,0,2101098,0,3151296,18674944,8166201,671172,4498943,4157928,650245,1100256,2251050,607498,827565,105525,5736768,1272369,8403456,1380134,3977510,2354488,1467996,1265543,1767964,1599012,3031698,4910179,1070133,1355918,1471447,0,5980372,577553,8535623,4437973,1412316,142858,454896,5670076,6069711,5840180,8268540,3674720,4528284,3198598,1381975,4539928,2331428,2447438,649412,1097157,2253554,597225,825934,2990157,2847324,1794041,8784676,1911530,2531816,2351039,1473752,1262566,2750491,618082,3023679,4906538,1070892,1351510,2320580,787440,4907432,5912905,5383848,1680372,1407589,273807,57,32,86,0,2,0,1,0,65,68,47,66,42,90,47,102,55,48,47,137,0,56,41,126,86,89,94,8,122,33,81,102,85,0,12,25,12,58,104,12,1
0,6185983,498165,702481,1496624,49966,21945,4805377,1111498,358925,1194396,965655,11201,0,6606701,5183470,3042313,448240,596125,4057832,8214,9162004,568850,239576,3868428,752870,5807992,3877484,2615421,4372764,1087105,3753429,656875,747824,4606311,36342,1049707,2162299,2267760,8992178,3740424,2310136,492863,961465,1232580,47248,18170,5561773,357312,879634,671976,957625,273611,3412240,2927172,5209741,3038940,444975,1381301,3317758,7090966,2070576,568398,2798771,1307346,754987,5800934,4215540,5163187,1487515,3179246,1650318,654768,748889,4598828,35380,2034836,1177991,6658937,4591091,0,30,101,146,70,32,29,68,38,55,65,46,11,0,60,117,71,57,40,96,2,19,84,24,8,53,32,47,52,8,73,41,100,111,46,29,50,95,13,12,1
3183408,17591,148274,536496,2098085,1979724,3248225,4014496,0,2100864,0,3151530,17658976,5311824,5158697,560158,3088166,1054644,1074125,805203,1450897,36189,2101098,0,11329400,25757388,3487857,4564205,4733000,4848907,0,1050432,0,1050432,0,2101098,0,4202079,15667804,14345237,3180981,17106,145973,536325,2092695,2239659,3836481,4405288,10236720,2887280,4855880,7350112,1615910,17111,5156316,2392131,1247472,2031679,96206,803310,1453818,7052922,14764500,10356360,7857004,0,7088734,132094,9003139,1094663,2427940,131240,3215380,4462328,7021340,7218704,4855880,5906556,2628387,10174,91,10,61,65,69,66,74,40,0,1,0,3,0,20,37,99,69,8,18,66,30,12,0,0,2,0,10,38,4,30,0,1,0,2,0,2,0,3,0,18,1
5780,13369818,3409538,4056427,1519417,5730521,1012615,4388544,3128638,1527644,1026917,212556,171996,670938,536690,1233816,5141704,1119124,2890001,805813,2992143,4131008,319072,1067841,2631618,2542440,503917,7737,6451878,1265334,5953,6243520,31186,0,0,0,0,4106941,3427451,3239005,9578100,3784592,3405830,4053725,2435242,5413041,1980317,3533297,2863857,1064578,1021771,210837,190326,650420,529362,1231563,5335923,937017,2865352,933523,2854318,4260502,186036,1454139,3798804,981827,498721,3944909,2510462,1268198,5184400,1043857,50292,0,1460,109552,1185624,2785370,3424460,3235706,3,23,49,61,69,52,40,10,33,99,68,21,52,94,88,117,34,107,71,160,56,21,78,88,22,61,84,2,82,152,3,10,23,0,0,0,0,117,63,87,1
3155508,907817,1755082,780950,2817379,5160763,33871,6361898,1373795,516272,4187910,1325523,4059001,3209361,260636,4487026,4201728,3889615,8651720,1006811,45655,1208199,4394448,14101687,4386486,4318730,1436094,393963,1778,21891,742524,9582368,4292360,1457185,2124739,713056,2945674,2057584,962807,3671943,3782587,474862,1819805,1567296,2046336,4894520,3707609,2683014,1500531,384445,4186028,2504892,2875014,3204332,3719192,2265396,6492736,3626691,5368275,1005329,174988,10985019,8571647,1909783,2893809,3920475,1433509,391725,0,21364,3891324,9396556,1321972,1456032,2141581,711390,4852133,139038,959995,6819258,4,44,10,63,74,64,22,63,118,18,55,65,84,127,73,21,0,41,49,80,32,11,0,10,36,66,32,43,1,50,40,0,20,75,56,14,84,93,85,37,1
0,1050432,15516820,2312603,1821130,1862086,192811,4303885,651446,2495367,3190160,3748190,2758572,1188726,317759,0,6435803,18104298,4553480,2122258,1788401,3079740,694402,1288957,413123,2721887,1918722,450344,5919497,1681700,217680,385845,1407245,2618514,3859564,1248591,2109539,1445162,407320,0,3674720,7874400,1860266,2441585,3128245,421664,185034,4304529,1758627,1375946,3187829,4069141,2427940,1188346,6349791,9843000,8610424,1743178,2849298,2118276,4304681,551630,714050,1267519,433398,2707455,1906806,5502812,863388,1679368,321931,773802,1013000,3332099,3136816,1244194,2103324,1440544,537612,262564,0,1,8,87,32,103,46,11,90,59,91,113,9,36,53,0,3,20,8,65,59,74,24,28,14,40,63,34,28,70,42,68,62,35,33,81,92,77,44,0,1
1730453,5033928,7604069,63018,3151296,741092,263151,1704380,174769,6054743,0,1050432,5653660,8071232,3257098,7737998,367629,188466,2945613,1401746,3967029,2338917,504165,789380,3246748,4193170,2857989,1326612,0,12482566,597539,1374113,4015347,557029,1281771,2032548,1387005,103769,9815080,1264604,5730911,7873187,361426,1373224,2448113,130030,1311573,646685,3893462,4428327,3152600,3149760,4601412,2309636,5535001,4912446,366461,187952,2943262,1790501,4227518,1685652,630299,657793,3245532,4191162,3874444,5030456,6037040,1858831,449698,1636202,3880511,425258,1285234,2021872,1386734,4893739,5020007,1262123,44,0,54,36,0,44,43,145,14,106,0,1,0,35,22,29,35,21,42,123,10,60,42,0,20,43,91,55,0,13,77,30,50,55,20,137,84,13,8,80,1
1422792,3479159,5157581,1119433,1634411,2474694,8688,6290173,415057,964507,0,2101098,0,3151296,19562884,4478742,3586355,5025870,244063,185665,1857816,3577869,4782504,3813736,1026888,57422,0,6469863,1061004,776773,2097864,2794837,932169,2262137,4478952,1048176,1668765,2557016,2034023,3814620,1425883,7828862,797816,1116059,1629886,2465593,4339580,1955666,411237,5227049,7743160,2625304,5774560,6168616,2666273,232697,3875490,4531878,243862,184650,1859668,7114632,3205662,1841523,1023607,1959888,393720,4169279,1056641,906038,2094666,2659114,930791,2309048,4426053,1045751,1662901,2812126,1776876,3823531,76,2,45,127,99,133,3,55,76,67,0,2,0,3,0,41,32,72,14,19,56,64,12,49,101,24,0,45,76,66,64,84,78,85,63,69,151,29,42,76,1
464802,1039771,6952292,552299,2900437,1408483,1275178,1694215,222466,144350,0,1050549,0,22616019,11675,0,2100981,11751708,5961268,614458,145043,0,1594667,1050432,1605473,0,0,0,0,2442844,7772,958907,776826,697245,657782,4576608,3210792,3660882,105720,389288,461691,3006450,5222412,307338,2897127,1404040,1273732,1692944,222299,1193737,3805960,5512080,11155400,2131771,4538975,6496380,4724892,3099311,955472,610358,144417,503560,1874187,641225,306788,1115540,787440,131240,131240,16394,397284,694655,644081,695276,658845,4420043,3207087,3693918,68955,388995,92,34,0,63,80,163,90,66,20,22,0,1,0,12,12,0,3,0,31,88,16,0,94,4,30,0,0,0,0,8,2,23,31,58,75,70,76,93,2,28,1
0,2100864,0,2101098,2887276,5646072,4858248,3545208,2954340,1332037,113272,1503663,1072766,943126,68091,2513361,334026,4212,2427712,3196407,463893,824437,0,0,164309,7202,981768,4212,4174288,0,140584,20273,41913,149942,0,1050432,5213084,611871,85526,499237,656200,262480,393720,5249600,4023669,0,0,0,0,127275,244142,1831037,1202850,353568,1572257,1006001,326815,4007420,1574880,47474,653959,626207,0,12220,161760,138330,854266,3155205,1022477,4180,140509,15602,41058,1725204,2493560,1181160,961746,610502,87844,494650,0,1,0,1,0,0,0,0,0,70,24,22,31,49,22,39,76,4,1,20,37,32,4,1,71,2,18,3,8,0,22,10,14,32,0,1,38,50,41,32,1
12141130,4726528,1068821,496880,1537036,234837,899295,854603,2654866,2377445,2903564,154263,16761,245951,2036783,4349996,3249853,1300434,244233,6970813,4124928,649689,2311291,3233208,46968,274380,5103720,282957,1534271,3228472,935308,1248442,0,2101098,0,3151296,0,9224114,21058844,721320,1385990,3350374,1063006,1414302,611422,825774,304763,853868,2648964,4729342,501876,150383,20458,240682,4555798,1828695,3240089,1299580,1816470,5391157,4119044,911971,2769437,2509775,46652,3292712,2361696,34090,1856088,3028781,1105620,1075627,9252504,3412240,5249600,4265300,7677540,5488348,0,719080,10,8,65,37,101,29,84,104,20,2,76,55,10,32,133,64,132,71,64,31,57,48,10,8,10,12,0,20,13,11,32,99,0,2,0,6,0,3,2,51,1
