1440622,1686774,518160,437724,1258393,2344947,915677,1014057,2078944,803268,1331678,1650021,391048,1165129,1366884,1393966,532976,565730,1147613,1239456,1173787,1168279,722019,1543291,2028955,2668454,852048,712403,841859,1190835,1440187,1687231,517475,440954,1420847,2188082,997736,924735,2073142,811498,1393148,1578683,388816,1323206,1202879,1386920,586416,511138,1146802,1240089,1173931,1165017,724574,1541799,2020673,2768386,749770,709459,838616,1184099,144,164,51,41,160,191,110,89,147,105,120,115,63,95,128,147,40,55,111,134,136,78,58,159,164,266,144,88,105,148,1,363
2344947,915677,1014057,2078944,803268,1331678,1650021,391048,1165129,1366884,1393966,532976,565730,1147613,1239456,1173787,1168279,722019,1543291,2028955,2668454,852048,712403,841859,1190835,1005205,1261271,315901,819592,1248101,2188082,997736,924735,2073142,811498,1393148,1578683,388816,1323206,1202879,1386920,586416,511138,1146802,1240089,1173931,1165017,724574,1541799,2020673,2768386,749770,709459,838616,1184099,1004580,1255812,315327,834262,1255688,191,110,89,147,105,120,115,63,95,128,147,40,55,111,134,136,78,58,159,164,266,144,88,105,148,96,107,23,108,111,1,368
1331678,1650021,391048,1165129,1366884,1393966,532976,565730,1147613,1239456,1173787,1168279,722019,1543291,2028955,2668454,852048,712403,841859,1190835,1005205,1261271,315901,819592,1248101,1524003,836623,1101838,1335983,1054763,1393148,1578683,388816,1323206,1202879,1386920,586416,511138,1146802,1240089,1173931,1165017,724574,1541799,2020673,2768386,749770,709459,838616,1184099,1004580,1255812,315327,834262,1255688,1517910,994758,1013108,1269610,1051511,120,115,63,95,128,147,40,55,111,134,136,78,58,159,164,266,144,88,105,148,96,107,23,108,111,148,112,130,119,109,1,373
1393966,532976,565730,1147613,1239456,1173787,1168279,722019,1543291,2028955,2668454,852048,712403,841859,1190835,1005205,1261271,315901,819592,1248101,1524003,836623,1101838,1335983,1054763,820292,1551216,882328,1044731,1165491,1386920,586416,511138,1146802,1240089,1173931,1165017,724574,1541799,2020673,2768386,749770,709459,838616,1184099,1004580,1255812,315327,834262,1255688,1517910,994758,1013108,1269610,1051511,922733,1485196,851596,1051837,1159371,147,40,55,111,134,136,78,58,159,164,266,144,88,105,148,96,107,23,108,111,148,112,130,119,109,79,189,78,104,137,1,378
1173787,1168279,722019,1543291,2028955,2668454,852048,712403,841859,1190835,1005205,1261271,315901,819592,1248101,1524003,836623,1101838,1335983,1054763,820292,1551216,882328,1044731,1165491,719562,976774,664614,670616,1651882,1173931,1165017,724574,1541799,2020673,2768386,749770,709459,838616,1184099,1004580,1255812,315327,834262,1255688,1517910,994758,1013108,1269610,1051511,922733,1485196,851596,1051837,1159371,723165,973832,675409,670902,1656597,136,78,58,159,164,266,144,88,105,148,96,107,23,108,111,148,112,130,119,109,79,189,78,104,137,102,119,112,77,184,1,383
2668454,852048,712403,841859,1190835,1005205,1261271,315901,819592,1248101,1524003,836623,1101838,1335983,1054763,820292,1551216,882328,1044731,1165491,719562,976774,664614,670616,1651882,1014759,1044743,1150439,1037093,1246293,2768386,749770,709459,838616,1184099,1004580,1255812,315327,834262,1255688,1517910,994758,1013108,1269610,1051511,922733,1485196,851596,1051837,1159371,723165,973832,675409,670902,1656597,1014543,1047823,1150297,1042835,1249885,266,144,88,105,148,96,107,23,108,111,148,112,130,119,109,79,189,78,104,137,102,119,112,77,184,165,150,133,112,114,1,388
1005205,1261271,315901,819592,1248101,1524003,836623,1101838,1335983,1054763,820292,1551216,882328,1044731,1165491,719562,976774,664614,670616,1651882,1014759,1044743,1150439,1037093,1246293,1696485,1065558,939659,123861,1452791,1004580,1255812,315327,834262,1255688,1517910,994758,1013108,1269610,1051511,922733,1485196,851596,1051837,1159371,723165,973832,675409,670902,1656597,1014543,1047823,1150297,1042835,1249885,1690295,1064562,934990,124454,1454888,96,107,23,108,111,148,112,130,119,109,79,189,78,104,137,102,119,112,77,184,165,150,133,112,114,157,147,89,30,123,1,393
1524003,836623,1101838,1335983,1054763,820292,1551216,882328,1044731,1165491,719562,976774,664614,670616,1651882,1014759,1044743,1150439,1037093,1246293,1696485,1065558,939659,123861,1452791,723017,1216332,907842,1718959,1385272,1517910,994758,1013108,1269610,1051511,922733,1485196,851596,1051837,1159371,723165,973832,675409,670902,1656597,1014543,1047823,1150297,1042835,1249885,1690295,1064562,934990,124454,1454888,723960,1287380,848707,1721699,1383414,148,112,130,119,109,79,189,78,104,137,102,119,112,77,184,165,150,133,112,114,157,147,89,30,123,67,196,85,118,120,1,398
820292,1551216,882328,1044731,1165491,719562,976774,664614,670616,1651882,1014759,1044743,1150439,1037093,1246293,1696485,1065558,939659,123861,1452791,723017,1216332,907842,1718959,1385272,1284727,1000181,1522495,954711,1042004,922733,1485196,851596,1051837,1159371,723165,973832,675409,670902,1656597,1014543,1047823,1150297,1042835,1249885,1690295,1064562,934990,124454,1454888,723960,1287380,848707,1721699,1383414,1277943,996406,1531181,956068,1037987,79,189,78,104,137,102,119,112,77,184,165,150,133,112,114,157,147,89,30,123,67,196,85,118,120,170,126,142,101,129,1,403
719562,976774,664614,670616,1651882,1014759,1044743,1150439,1037093,1246293,1696485,1065558,939659,123861,1452791,723017,1216332,907842,1718959,1385272,1284727,1000181,1522495,954711,1042004,1324147,1268324,1116728,1581845,1551359,723165,973832,675409,670902,1656597,1014543,1047823,1150297,1042835,1249885,1690295,1064562,934990,124454,1454888,723960,1287380,848707,1721699,1383414,1277943,996406,1531181,956068,1037987,1330222,1271298,1116860,1576148,1558729,102,119,112,77,184,165,150,133,112,114,157,147,89,30,123,67,196,85,118,120,170,126,142,101,129,137,120,73,118,99,1,408
1014759,1044743,1150439,1037093,1246293,1696485,1065558,939659,123861,1452791,723017,1216332,907842,1718959,1385272,1284727,1000181,1522495,954711,1042004,1324147,1268324,1116728,1581845,1551359,1429212,1261908,1303207,640275,1580556,1014543,1047823,1150297,1042835,1249885,1690295,1064562,934990,124454,1454888,723960,1287380,848707,1721699,1383414,1277943,996406,1531181,956068,1037987,1330222,1271298,1116860,1576148,1558729,1432427,1258284,1303043,636870,1579567,165,150,133,112,114,157,147,89,30,123,67,196,85,118,120,170,126,142,101,129,137,120,73,118,99,167,143,108,86,172,1,413
1696485,1065558,939659,123861,1452791,723017,1216332,907842,1718959,1385272,1284727,1000181,1522495,954711,1042004,1324147,1268324,1116728,1581845,1551359,1429212,1261908,1303207,640275,1580556,404044,840990,570692,518339,1168331,1690295,1064562,934990,124454,1454888,723960,1287380,848707,1721699,1383414,1277943,996406,1531181,956068,1037987,1330222,1271298,1116860,1576148,1558729,1432427,1258284,1303043,636870,1579567,402784,837566,572465,513585,1161884,157,147,89,30,123,67,196,85,118,120,170,126,142,101,129,137,120,73,118,99,167,143,108,86,172,53,104,106,79,155,1,418
723017,1216332,907842,1718959,1385272,1284727,1000181,1522495,954711,1042004,1324147,1268324,1116728,1581845,1551359,1429212,1261908,1303207,640275,1580556,404044,840990,570692,518339,1168331,1822603,726241,836952,1211822,1676303,723960,1287380,848707,1721699,1383414,1277943,996406,1531181,956068,1037987,1330222,1271298,1116860,1576148,1558729,1432427,1258284,1303043,636870,1579567,402784,837566,572465,513585,1161884,1820115,723836,838279,1214723,1678942,67,196,85,118,120,170,126,142,101,129,137,120,73,118,99,167,143,108,86,172,53,104,106,79,155,133,120,85,108,181,1,423
