
76015,1641,98374,6586,8626,685676,3065906,1735448,803322,725923,0,0,136848,52853,141377,444607,2467947,2867614,24137,863481,691121,74421,10423,1988452,37648,1641,0,0,3151296,9332978,270393,131584,96821,69156,203108,1199444,3191335,2121955,1124305,723898,0,0,331305,179834,269815,572989,2661117,2930489,151006,1057523,817638,138616,76315,2049942,103588,2953276,9588796,0,0,0,66,22,34,34,57,203,68,134,127,14,0,1,62,70,46,54,57,26,63,61,64,25,21,30,12,24,0,0,1,13,1
1641,98374,6586,8626,685676,3065906,1735448,803322,725923,0,0,136848,52853,141377,444607,2467947,2867614,24137,863481,691121,74421,10423,1988452,37648,1641,0,0,3151296,9332978,0,131584,96821,69156,203108,1199444,3191335,2121955,1124305,723898,0,0,331305,179834,269815,572989,2661117,2930489,151006,1057523,817638,138616,76315,2049942,103588,2953276,9588796,0,0,0,207432,22,34,34,57,203,68,134,127,14,0,1,62,70,46,54,57,26,63,61,64,25,21,30,12,24,0,0,1,13,11,1
98374,6586,8626,685676,3065906,1735448,803322,725923,0,0,136848,52853,141377,444607,2467947,2867614,24137,863481,691121,74421,10423,1988452,37648,1641,0,0,3151296,9332978,0,0,96821,69156,203108,1199444,3191335,2121955,1124305,723898,0,0,331305,179834,269815,572989,2661117,2930489,151006,1057523,817638,138616,76315,2049942,103588,2953276,9588796,0,0,0,207432,15667444,34,34,57,203,68,134,127,14,0,1,62,70,46,54,57,26,63,61,64,25,21,30,12,24,0,0,1,13,11,0,1
6586,8626,685676,3065906,1735448,803322,725923,0,0,136848,52853,141377,444607,2467947,2867614,24137,863481,691121,74421,10423,1988452,37648,1641,0,0,3151296,9332978,0,0,871476,69156,203108,1199444,3191335,2121955,1124305,723898,0,0,331305,179834,269815,572989,2661117,2930489,151006,1057523,817638,138616,76315,2049942,103588,2953276,9588796,0,0,0,207432,15667444,1756481,34,57,203,68,134,127,14,0,1,62,70,46,54,57,26,63,61,64,25,21,30,12,24,0,0,1,13,11,0,1,1
8626,685676,3065906,1735448,803322,725923,0,0,136848,52853,141377,444607,2467947,2867614,24137,863481,691121,74421,10423,1988452,37648,1641,0,0,3151296,9332978,0,0,871476,9378016,203108,1199444,3191335,2121955,1124305,723898,0,0,331305,179834,269815,572989,2661117,2930489,151006,1057523,817638,138616,76315,2049942,103588,2953276,9588796,0,0,0,207432,15667444,1756481,0,57,203,68,134,127,14,0,1,62,70,46,54,57,26,63,61,64,25,21,30,12,24,0,0,1,13,11,0,1,0,1
685676,3065906,1735448,803322,725923,0,0,136848,52853,141377,444607,2467947,2867614,24137,863481,691121,74421,10423,1988452,37648,1641,0,0,3151296,9332978,0,0,871476,9378016,5423028,1199444,3191335,2121955,1124305,723898,0,0,331305,179834,269815,572989,2661117,2930489,151006,1057523,817638,138616,76315,2049942,103588,2953276,9588796,0,0,0,207432,15667444,1756481,0,0,203,68,134,127,14,0,1,62,70,46,54,57,26,63,61,64,25,21,30,12,24,0,0,1,13,11,0,1,0,0,1
3065906,1735448,803322,725923,0,0,136848,52853,141377,444607,2467947,2867614,24137,863481,691121,74421,10423,1988452,37648,1641,0,0,3151296,9332978,0,0,871476,9378016,5423028,1968867,3191335,2121955,1124305,723898,0,0,331305,179834,269815,572989,2661117,2930489,151006,1057523,817638,138616,76315,2049942,103588,2953276,9588796,0,0,0,207432,15667444,1756481,0,0,129848,68,134,127,14,0,1,62,70,46,54,57,26,63,61,64,25,21,30,12,24,0,0,1,13,11,0,1,0,0,39,1
1735448,803322,725923,0,0,136848,52853,141377,444607,2467947,2867614,24137,863481,691121,74421,10423,1988452,37648,1641,0,0,3151296,9332978,0,0,871476,9378016,5423028,1968867,73551,2121955,1124305,723898,0,0,331305,179834,269815,572989,2661117,2930489,151006,1057523,817638,138616,76315,2049942,103588,2953276,9588796,0,0,0,207432,15667444,1756481,0,0,129848,203750,134,127,14,0,1,62,70,46,54,57,26,63,61,64,25,21,30,12,24,0,0,1,13,11,0,1,0,0,39,43,1
803322,725923,0,0,136848,52853,141377,444607,2467947,2867614,24137,863481,691121,74421,10423,1988452,37648,1641,0,0,3151296,9332978,0,0,871476,9378016,5423028,1968867,73551,147207,1124305,723898,0,0,331305,179834,269815,572989,2661117,2930489,151006,1057523,817638,138616,76315,2049942,103588,2953276,9588796,0,0,0,207432,15667444,1756481,0,0,129848,203750,211458,127,14,0,1,62,70,46,54,57,26,63,61,64,25,21,30,12,24,0,0,1,13,11,0,1,0,0,39,43,19,1
725923,0,0,136848,52853,141377,444607,2467947,2867614,24137,863481,691121,74421,10423,1988452,37648,1641,0,0,3151296,9332978,0,0,871476,9378016,5423028,1968867,73551,147207,565112,723898,0,0,331305,179834,269815,572989,2661117,2930489,151006,1057523,817638,138616,76315,2049942,103588,2953276,9588796,0,0,0,207432,15667444,1756481,0,0,129848,203750,211458,693334,14,0,1,62,70,46,54,57,26,63,61,64,25,21,30,12,24,0,0,1,13,11,0,1,0,0,39,43,19,49,1
0,0,136848,52853,141377,444607,2467947,2867614,24137,863481,691121,74421,10423,1988452,37648,1641,0,0,3151296,9332978,0,0,871476,9378016,5423028,1968867,73551,147207,565112,6490,0,0,331305,179834,269815,572989,2661117,2930489,151006,1057523,817638,138616,76315,2049942,103588,2953276,9588796,0,0,0,207432,15667444,1756481,0,0,129848,203750,211458,693334,4817,0,1,62,70,46,54,57,26,63,61,64,25,21,30,12,24,0,0,1,13,11,0,1,0,0,39,43,19,49,14,1
0,136848,52853,141377,444607,2467947,2867614,24137,863481,691121,74421,10423,1988452,37648,1641,0,0,3151296,9332978,0,0,871476,9378016,5423028,1968867,73551,147207,565112,6490,163181,0,331305,179834,269815,572989,2661117,2930489,151006,1057523,817638,138616,76315,2049942,103588,2953276,9588796,0,0,0,207432,15667444,1756481,0,0,129848,203750,211458,693334,4817,293300,1,62,70,46,54,57,26,63,61,64,25,21,30,12,24,0,0,1,13,11,0,1,0,0,39,43,19,49,14,37,1
136848,52853,141377,444607,2467947,2867614,24137,863481,691121,74421,10423,1988452,37648,1641,0,0,3151296,9332978,0,0,871476,9378016,5423028,1968867,73551,147207,565112,6490,163181,0,331305,179834,269815,572989,2661117,2930489,151006,1057523,817638,138616,76315,2049942,103588,2953276,9588796,0,0,0,207432,15667444,1756481,0,0,129848,203750,211458,693334,4817,293300,0,62,70,46,54,57,26,63,61,64,25,21,30,12,24,0,0,1,13,11,0,1,0,0,39,43,19,49,14,37,0,1
